name,code,pop
Algeria,DZA,703.118
Argentina,ARG,810.582
Australia,AUS,1627.912
Austria,AUT,276.211
Azerbaijan,AZE,177.629
Bangladesh,BGD,485.273
Belarus,BLR,291.915
Belgium,BEL,592.903
Brazil,BRA,1854.374
Bulgaria,BGR,145.404
Canada,CAN,2608.28
Chile,CHL,354.847
China,CHN,33512.486
Colombia,COL,400.957
Croatia,HRV,73.783
Cyprus,CYP,30.998
Czechia,CZE,370.229
Denmark,DNK,132.452
Ecuador,ECU,143.647
Egypt,EGY,1030.296
Estonia,EST,61.261
Finland,FIN,168.415
France,FRA,1384.094
Germany,DEU,2825.9
Greece,GRC,277.692
Hong Kong,HKG,344.471
Hungary,HUN,222.441
Iceland,ISL,12.561
India,IND,8612.962
Indonesia,IDN,2324.602
Iran,IRN,3339.902
Iraq,IRQ,612.215
Ireland,IRL,153.732
Israel,ISR,305.526
Italy,ITA,1482.024
Japan,JPN,4536.13
Kazakhstan,KAZ,834.317
Kuwait,KWT,454.495
Latvia,LVA,35.677
Lithuania,LTU,62.286
Luxembourg,LUX,43.886
Malaysia,MYS,1108.253
Mexico,MEX,1961.967
Morocco,MAR,244.938
Netherlands,NLD,901.859
New Zealand,NZL,164.422
North Macedonia,MKD,27.749
Norway,NOR,161.613
Oman,OMN,420.54
Pakistan,PAK,860.248
Peru,PER,229.738
Philippines,PHL,496.613
Poland,POL,1107.963
Portugal,PRT,218.846
Qatar,QAT,561.615
Romania,ROU,287.984
Russia,RUS,7275.86
Saudi Arabia,SAU,3061.018
Singapore,SGP,983.664
Slovakia,SVK,127.439
Slovenia,SVN,50.068
South Africa,ZAF,1430.966
South Korea,KOR,2987.572
Spain,ESP,1174.89
Sri Lanka,LKA,85.619
Sweden,SWE,193.733
Switzerland,CHE,158.612
Taiwan,TWN,1222.656
Thailand,THA,1463.066
Trinidad and Tobago,TTO,198.244
Turkey,TUR,1467.992
Turkmenistan,TKM,402.001
Ukraine,UKR,710.505
United Arab Emirates,ARE,1331.39
United Kingdom,GBR,1723.913
United States,USA,21891.102
Uzbekistan,UZB,479.365
Venezuela,VEN,461.508
Vietnam,VNM,970.1
